contract_multiplier,de_listed_date,exchange,listed_date,margin_rate,market_tplus,maturity_date,order_book_id,round_lot,symbol,trading_hours,type,underlying_order_book_id,underlying_symbol,order_book_id_symbol
10,2015-02-10,SHFE,2014-02-18,0.05,0,2015-02-10,RB1502,1,螺纹钢1502,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1502(RB1502)
10,2014-08-15,SHFE,2014-02-18,0.04,0,2014-08-15,BU1408,1,石油沥青1408,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1408(BU1408)
10,2015-02-10,SHFE,2014-02-18,0.07,0,2015-02-10,WR1502,1,线材1502,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1502(WR1502)
50,2015-02-27,SHFE,2014-03-03,0.08,0,2015-02-27,FU1503,1,燃料油1503,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1503(FU1503)
5,2015-03-16,SHFE,2014-03-18,0.05,0,2015-03-16,AL1503,1,铝1503,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1503(AL1503)
5,2015-03-16,SHFE,2014-03-18,0.05,0,2015-03-16,CU1503,1,铜1503,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,CU,铜1503(CU1503)
5,2015-03-16,SHFE,2014-03-18,0.05,0,2015-03-16,ZN1503,1,锌1503,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,ZN,锌1503(ZN1503)
5,2015-03-16,SHFE,2014-03-18,0.05,0,2015-03-16,PB1503,1,铅1503,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,PB,铅1503(PB1503)
10,2015-03-16,SHFE,2014-03-18,0.05,0,2015-03-16,RU1503,1,天然橡胶1503,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RU,天然橡胶1503(RU1503)
15,2015-03-16,SHFE,2014-03-18,0.04,0,2015-03-16,AG1503,1,白银1503,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AG,白银1503(AG1503)
10,2015-03-16,SHFE,2014-03-18,0.05,0,2015-03-16,RB1503,1,螺纹钢1503,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,RB,螺纹钢1503(RB1503)
10,2015-03-16,SHFE,2014-03-18,0.07,0,2015-03-16,WR1503,1,线材1503,"09:01-10:15,10:31-11:30,13:31-15:00",Future,null,WR,线材1503(WR1503)
10,2016-03-15,SHFE,2014-03-18,0.04,0,2016-03-15,BU1603,1,石油沥青1603,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,BU,石油沥青1603(BU1603)
10,2014-07-15,SHFE,2014-03-21,0.04,0,2014-07-15,HC1407,1,热轧卷板1407,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1407(HC1407)
10,2014-08-15,SHFE,2014-03-21,0.04,0,2014-08-15,HC1408,1,热轧卷板1408,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1408(HC1408)
10,2014-09-15,SHFE,2014-03-21,0.04,0,2014-09-15,HC1409,1,热轧卷板1409,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1409(HC1409)
10,2014-11-17,SHFE,2014-03-21,0.04,0,2014-11-17,HC1411,1,热轧卷板1411,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1411(HC1411)
10,2014-10-15,SHFE,2014-03-21,0.04,0,2014-10-15,HC1410,1,热轧卷板1410,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1410(HC1410)
10,2014-12-15,SHFE,2014-03-21,0.04,0,2014-12-15,HC1412,1,热轧卷板1412,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1412(HC1412)
10,2015-01-15,SHFE,2014-03-21,0.04,0,2015-01-15,HC1501,1,热轧卷板1501,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1501(HC1501)
10,2015-02-10,SHFE,2014-03-21,0.04,0,2015-02-10,HC1502,1,热轧卷板1502,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1502(HC1502)
10,2015-03-16,SHFE,2014-03-21,0.04,0,2015-03-16,HC1503,1,热轧卷板1503,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,HC,热轧卷板1503(HC1503)
50,2015-03-31,SHFE,2014-04-01,0.08,0,2015-03-31,FU1504,1,燃料油1504,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,FU,燃料油1504(FU1504)
5,2015-04-15,SHFE,2014-04-16,0.05,0,2015-04-15,AL1504,1,铝1504,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",Future,null,AL,铝1504(AL1504)
